name_common,mlb_ID,year_ID,team_ID,stint_ID,lg_ID,pitcher,WAR
David Aardsma,430911.0,2010,SEA,1,AL,Y,0.0
David Aardsma,430911.0,2012,NYY,1,AL,Y,
David Aardsma,430911.0,2013,NYM,1,NL,Y,0.0
David Aardsma,430911.0,2015,ATL,1,NL,Y,-0.01
Fernando Abad,472551.0,2010,HOU,1,NL,Y,-0.02
Fernando Abad,472551.0,2011,HOU,1,NL,Y,0.0
Fernando Abad,472551.0,2012,HOU,1,NL,Y,-0.05
Fernando Abad,472551.0,2013,WSN,1,NL,Y,0.0
Fernando Abad,472551.0,2014,OAK,1,AL,Y,0.0
Fernando Abad,472551.0,2015,OAK,1,AL,Y,0.0
Fernando Abad,472551.0,2016,BOS,2,AL,Y,0.0
Fernando Abad,472551.0,2016,MIN,1,AL,Y,-0.01
Fernando Abad,472551.0,2017,BOS,1,AL,Y,0.0
Fernando Abad,472551.0,2019,SFG,1,NL,Y,0.0
Fernando Abad,472551.0,2021,BAL,1,AL,Y,0.0
Fernando Abad,472551.0,2023,COL,1,NL,Y,
Andrew Abbott,671096.0,2023,CIN,1,NL,Y,
Andrew Abbott,671096.0,2024,CIN,1,NL,Y,
Cory Abbott,676265.0,2021,CHC,1,NL,Y,0.03
Cory Abbott,676265.0,2022,WSN,1,NL,Y,
Cory Abbott,676265.0,2023,WSN,1,NL,Y,
Mick Abel,690953.0,2025,PHI,1,NL,Y,
CJ Abrams,682928.0,2022,SDP,1,NL,N,0.06
CJ Abrams,682928.0,2022,WSN,2,NL,N,0.0
CJ Abrams,682928.0,2023,WSN,1,NL,N,3.45
CJ Abrams,682928.0,2024,WSN,1,NL,N,3.37
CJ Abrams,682928.0,2025,WSN,1,NL,N,3.38
Albert Abreu,656061.0,2020,NYY,1,AL,Y,
Albert Abreu,656061.0,2021,NYY,1,AL,Y,0.0
Albert Abreu,656061.0,2022,KCR,2,AL,Y,0.0
Albert Abreu,656061.0,2022,NYY,3,AL,Y,
Albert Abreu,656061.0,2022,TEX,1,AL,Y,
Albert Abreu,656061.0,2023,NYY,1,AL,Y,
Bobby Abreu,110029.0,2010,LAA,1,AL,N,1.85
Bobby Abreu,110029.0,2011,LAA,1,AL,N,1.6
Bobby Abreu,110029.0,2012,LAA,1,AL,N,-0.24
Bobby Abreu,110029.0,2012,LAD,2,NL,N,-0.26
Bobby Abreu,110029.0,2014,NYM,1,NL,N,-0.49
Bryan Abreu,650556.0,2019,HOU,1,AL,Y,
Bryan Abreu,650556.0,2020,HOU,1,AL,Y,
Bryan Abreu,650556.0,2021,HOU,1,AL,Y,0.0
Bryan Abreu,650556.0,2022,HOU,1,AL,Y,
Bryan Abreu,650556.0,2023,HOU,1,AL,Y,
Bryan Abreu,650556.0,2024,HOU,1,AL,Y,
Bryan Abreu,650556.0,2025,HOU,1,AL,Y,0.0
José Abreu,547989.0,2014,CHW,1,AL,N,5.76
José Abreu,547989.0,2015,CHW,1,AL,N,3.35
José Abreu,547989.0,2016,CHW,1,AL,N,3.05
José Abreu,547989.0,2017,CHW,1,AL,N,4.78
José Abreu,547989.0,2018,CHW,1,AL,N,2.05
José Abreu,547989.0,2019,CHW,1,AL,N,2.31
José Abreu,547989.0,2020,CHW,1,AL,N,2.71
José Abreu,547989.0,2021,CHW,1,AL,N,2.98
José Abreu,547989.0,2022,CHW,1,AL,N,4.28
José Abreu,547989.0,2023,HOU,1,AL,N,-0.09
José Abreu,547989.0,2024,HOU,1,AL,N,-1.67
Juan Abreu,444874.0,2011,HOU,1,NL,Y,0.0
Tony Abreu,473234.0,2010,ARI,1,NL,N,-1.3
Tony Abreu,473234.0,2012,KCR,1,AL,N,-0.19
Tony Abreu,473234.0,2013,SFG,1,NL,N,-0.06
Tony Abreu,473234.0,2014,SFG,1,NL,N,-0.12
Wilyer Abreu,677800.0,2023,BOS,1,AL,N,0.67
Wilyer Abreu,677800.0,2024,BOS,1,AL,N,3.4
Wilyer Abreu,677800.0,2025,BOS,1,AL,N,3.21
Jeremy Accardo,435618.0,2010,TOR,1,AL,Y,
Jeremy Accardo,435618.0,2011,BAL,1,AL,Y,0.0
Jeremy Accardo,435618.0,2012,CLE,1,AL,Y,0.0
Jeremy Accardo,435618.0,2012,OAK,2,AL,Y,
Alfredo Aceves,469686.0,2010,NYY,1,AL,Y,0.0
Alfredo Aceves,469686.0,2011,BOS,1,AL,Y,0.0
Alfredo Aceves,469686.0,2012,BOS,1,AL,Y,0.0
Alfredo Aceves,469686.0,2013,BOS,1,AL,Y,
Alfredo Aceves,469686.0,2014,NYY,1,AL,Y,0.0
Domingo Acevedo,642758.0,2021,OAK,1,AL,Y,
Domingo Acevedo,642758.0,2022,OAK,1,AL,Y,
Domingo Acevedo,642758.0,2023,OAK,1,AL,Y,
A.J. Achter,592091.0,2014,MIN,1,AL,Y,
A.J. Achter,592091.0,2015,MIN,1,AL,Y,0.0
A.J. Achter,592091.0,2016,LAA,1,AL,Y,0.0
Dustin Ackley,554429.0,2011,SEA,1,AL,N,3.67
Dustin Ackley,554429.0,2012,SEA,1,AL,N,2.57
Dustin Ackley,554429.0,2013,SEA,1,AL,N,0.68
Dustin Ackley,554429.0,2014,SEA,1,AL,N,1.88
Dustin Ackley,554429.0,2015,NYY,2,AL,N,0.15
Dustin Ackley,554429.0,2015,SEA,1,AL,N,-1.04
Dustin Ackley,554429.0,2016,NYY,1,AL,N,-0.18
Manny Acosta,407924.0,2010,NYM,1,NL,Y,0.0
Manny Acosta,407924.0,2011,NYM,1,NL,Y,0.0
Manny Acosta,407924.0,2012,NYM,1,NL,Y,0.0
Maximo Acosta,691185.0,2025,MIA,1,NL,N,-0.04
Garrett Acton,670183.0,2023,OAK,1,AL,Y,
Luisangel Acuña,682668.0,2024,NYM,1,NL,N,0.52
Luisangel Acuña,682668.0,2025,NYM,1,NL,N,0.56
Ronald Acuña Jr.,660670.0,2018,ATL,1,NL,N,3.87
Ronald Acuña Jr.,660670.0,2019,ATL,1,NL,N,5.16
Ronald Acuña Jr.,660670.0,2020,ATL,1,NL,N,2.37
Ronald Acuña Jr.,660670.0,2021,ATL,1,NL,N,3.47
Ronald Acuña Jr.,660670.0,2022,ATL,1,NL,N,2.33
Ronald Acuña Jr.,660670.0,2023,ATL,1,NL,N,8.4
Ronald Acuña Jr.,660670.0,2024,ATL,1,NL,N,0.02
Ronald Acuña Jr.,660670.0,2025,ATL,1,NL,N,2.97
Cristhian Adames,542436.0,2014,COL,1,NL,N,-0.22
Cristhian Adames,542436.0,2015,COL,1,NL,N,0.04
Cristhian Adames,542436.0,2016,COL,1,NL,N,-0.73
Cristhian Adames,542436.0,2017,COL,1,NL,N,-0.41
Cristhian Adames,542436.0,2019,SFG,1,NL,N,0.22
Willy Adames,642715.0,2018,TBR,1,AL,N,1.04
Willy Adames,642715.0,2019,TBR,1,AL,N,3.98
Willy Adames,642715.0,2020,TBR,1,AL,N,1.82
Willy Adames,642715.0,2021,MIL,2,NL,N,3.57
Willy Adames,642715.0,2021,TBR,1,AL,N,0.65
Willy Adames,642715.0,2022,MIL,1,NL,N,4.29
Willy Adames,642715.0,2023,MIL,1,NL,N,2.91
Willy Adames,642715.0,2024,MIL,1,NL,N,3.11
Willy Adames,642715.0,2025,SFG,1,NL,N,3.73
Jason Adam,592094.0,2018,KCR,1,AL,Y,0.0
Jason Adam,592094.0,2019,TOR,1,AL,Y,0.0
Jason Adam,592094.0,2020,CHC,1,NL,Y,
Jason Adam,592094.0,2021,CHC,1,NL,Y,0.0
Jason Adam,592094.0,2022,TBR,1,AL,Y,
Jason Adam,592094.0,2023,TBR,1,AL,Y,
